name,club,league,position,tier,rating,pace,shooting,passing,dribbling,defending,physical
Radja Nainggolan,Cagliari,Italy Serie A,CAM,Gold,86,86,86,76,86,34,75
Alejandro Gómez,Atalanta,Italy Serie A,CAM,Gold,86,87,75,86,83,82,78
Gareth Bale,Real Madrid,Spain Primera Division,RW,Gold,86,97,80,78,89,50,65
Memphis Depay,Olympique Lyonnais,France Ligue 1,CF,Gold,86,80,75,80,80,82,82
Leon Goretzka,Bayern München,Germany 1. Bundesliga,CM,Gold,86,89,77,79,91,39,63
Karl Toko-Ekambi,Villarreal CF,Spain Primera Division,ST,Gold,86,94,83,83,88,39,60
Gelson Martins,AS Monaco,France Ligue 1,RM,Gold,86,92,67,78,79,83,83
Danilo,Piemonte Calcio,Italy Serie A,RB,Gold,86,68,61,67,70,85,85
Riyad Mahrez,Manchester City,England Premier League,RW,Gold,86,81,76,88,85,51,67
Jadon Sancho,Borussia Dortmund,Germany 1. Bundesliga,RM,Gold,86,73,78,88,86,51,61
Ousmane Dembélé,FC Barcelona,Spain Primera Division,RW,Gold,86,77,84,74,73,36,85
Kingsley Coman,Bayern München,Germany 1. Bundesliga,LM,Gold,86,92,67,78,79,83,83
Allan,Napoli,Italy Serie A,CM,Gold,86,68,61,67,70,85,85
Jamie Vardy,Leicester City,England Premier League,ST,Gold,86,81,76,88,85,51,67
Kyle Walker,Manchester City,England Premier League,RB,Gold,86,73,78,88,86,51,61
Matthijs de Ligt,Piemonte Calcio,Italy Serie A,CB,Gold,86,77,84,74,73,36,85
Luis Alberto,Lazio,Italy Serie A,CM,Gold,86,71,80,81,82,79,79
Romelu Lukaku,Inter,Italy Serie A,ST,Gold,86,72,87,86,86,45,69
Fabinho,Liverpool,England Premier League,CDM,Gold,86,85,80,84,84,40,82
Saúl,Atlético de Madrid,Spain Primera Division,CM,Gold,86,87,81,76,87,45,80
Josip Iličić,Atalanta,Italy Serie A,ST,Gold,86,62,81,86,81,74,70
Julian Draxler,Paris Saint-Germain,France Ligue 1,CAM,Gold,86,90,76,83,88,52,55
Dimitri Payet,Olympique de Marseille,France Ligue 1,CAM,Gold,86,79,76,80,86,79,80
Kévin Gameiro,Valencia CF,Spain Primera Division,ST,Gold,86,68,77,86,86,74,73
Ivan Rakitić,FC Barcelona,Spain Primera Division,CM,Gold,86,79,76,80,86,79,80
James Milner,Liverpool,England Premier League,CM,Gold,86,90,80,83,87,40,56
William Carvalho,Real Betis Balompié,Spain Primera Division,CDM,Gold,86,83,87,82,88,34,70
Alessio Romagnoli,Milan,Italy Serie A,CB,Gold,86,83,74,83,83,86,84
Amine Harit,FC Schalke 04,Germany 1. Bundesliga,CAM,Gold,86,90,80,83,87,40,56
Georginio Wijnaldum,Liverpool,England Premier League,CM,Gold,86,86,81,82,90,40,61
İlkay Gündoğan,Manchester City,England Premier League,CM,Gold,86,86,81,82,85,46,67
Łukasz Piszczek,Borussia Dortmund,Germany 1. Bundesliga,RB,Gold,86,69,41,59,66,87,82
Kai Havertz,Bayer 04 Leverkusen,Germany 1. Bundesliga,CAM,Gold,86,95,81,79,86,38,70
Samuel Umtiti,FC Barcelona,Spain Primera Division,CB,Gold,86,84,79,84,87,48,68
Joshua Kimmich,Bayern München,Germany 1. Bundesliga,RB,Gold,86,41,80,88,79,70,69
Milan Škriniar,Inter,Italy Serie A,CB,Gold,86,93,85,72,85,29,79
Leonardo Bonucci,Piemonte Calcio,Italy Serie A,CB,Gold,86,77,84,74,73,36,85
Leroy Sané,Manchester City,England Premier League,LW,Gold,86,81,75,80,79,86,89
Isco,Real Madrid,Spain Primera Division,CAM,Gold,86,76,45,68,58,88,89
Frenkie de Jong,FC Barcelona,Spain Primera Division,CM,Gold,86,80,80,86,82,83,78
Alexandre Lacazette,Arsenal,England Premier League,ST,Gold,86,72,83,79,78,55,71
Nicolás Otamendi,Manchester City,England Premier League,CB,Gold,85,82,85,81,85,33,69
Leandro Trossard,Brighton & Hove Albion,England Premier League,LW,Gold,85,86,85,79,87,41,63
Idrissa Gueye,Paris Saint-Germain,France Ligue 1,CDM,Gold,85,82,85,81,85,33,69
Anthony Martial,Manchester United,England Premier League,LW,Gold,85,86,75,83,78,80,74
Alex Oxlade-Chamberlain,Liverpool,England Premier League,CM,Gold,85,98,80,78,87,42,83
Timo Werner,RB Leipzig,Germany 1. Bundesliga,ST,Gold,85,74,82,80,85,85,84
Wissam Ben Yedder,AS Monaco,France Ligue 1,ST,Gold,85,76,82,88,82,83,79
Kieran Trippier,Atlético de Madrid,Spain Primera Division,RB,Gold,85,80,71,82,80,83,78
Adama Traoré,Wolverhampton Wanderers,England Premier League,RW,Gold,85,57,64,87,83,73,75
Gonzalo Higuaín,Piemonte Calcio,Italy Serie A,ST,Gold,85,56,66,83,79,85,76
Jesús Navas,Sevilla FC,Spain Primera Division,RM,Gold,85,80,75,86,83,50,66
Marcel Sabitzer,RB Leipzig,Germany 1. Bundesliga,CAM,Gold,85,68,75,86,82,74,79
Raphaël Guerreiro,Borussia Dortmund,Germany 1. Bundesliga,LM,Gold,85,70,78,79,81,78,78
Lucas Digne,Everton,England Premier League,LB,Gold,85,69,45,52,56,86,82
Jorginho,Chelsea,England Premier League,CDM,Gold,85,79,64,84,88,76,76
Theo Walcott,Everton,England Premier League,RW,Gold,85,72,42,55,51,86,82
Koke,Atlético de Madrid,Spain Primera Division,RM,Gold,85,83,65,77,80,82,82
José María Giménez,Atlético de Madrid,Spain Primera Division,CB,Gold,85,85,62,77,79,80,75
Clément Lenglet,FC Barcelona,Spain Primera Division,CB,Gold,85,67,68,77,78,82,80
David Alaba,Bayern München,Germany 1. Bundesliga,LB,Gold,85,75,71,78,84,85,84
Niklas Süle,Bayern München,Germany 1. Bundesliga,CB,Gold,85,75,84,61,77,36,69
Axel Witsel,Borussia Dortmund,Germany 1. Bundesliga,CDM,Gold,85,91,87,82,82,58,76
Blaise Matuidi,Piemonte Calcio,Italy Serie A,CDM,Gold,85,55,86,87,86,50,63
Alex Sandro,Piemonte Calcio,Italy Serie A,LB,Gold,85,83,45,62,64,85,80
Rodri,Manchester City,England Premier League,CDM,Gold,85,75,84,61,77,36,69
Kostas Manolas,Napoli,Italy Serie A,CB,Gold,85,67,68,77,78,82,80
Mauro Icardi,Paris Saint-Germain,France Ligue 1,ST,Gold,85,72,80,82,81,79,82
Marcelo,Real Madrid,Spain Primera Division,LB,Gold,85,84,43,56,56,85,85
Raphaël Varane,Real Madrid,Spain Primera Division,CB,Gold,85,72,80,86,82,44,66
Carvajal,Real Madrid,Spain Primera Division,RB,Gold,85,80,73,80,78,86,83
Trent Alexander-Arnold,Liverpool,England Premier League,RB,Gold,85,88,80,79,92,37,59
Wilfried Zaha,Crystal Palace,England Premier League,ST,Gold,85,86,84,85,87,37,63
Corentin Tolisso,Bayern München,Germany 1. Bundesliga,CM,Gold,85,84,48,65,70,84,83
Lucas Vázquez,Real Madrid,Spain Primera Division,RW,Gold,85,78,78,87,85,45,65
Sergej Milinković-Savić,Lazio,Italy Serie A,CM,Gold,85,88,66,79,83,82,75
Thomas Partey,Atlético de Madrid,Spain Primera Division,CM,Gold,84,75,81,85,84,41,70
John McGinn,Aston Villa,England Premier League,CAM,Gold,84,75,82,80,82,74,82
Ricardo Pereira,Leicester City,England Premier League,RB,Gold,84,87,82,82,87,51,63
Lucas Torreira,Arsenal,England Premier League,CDM,Gold,84,82,84,65,79,38,77
Willian,Chelsea,England Premier League,RW,Gold,84,73,48,67,74,85,77
Éder Militão,Real Madrid,Spain Primera Division,CB,Gold,84,72,78,76,80,83,84
Muniain,Athletic Club de Bilbao,Spain Primera Division,CAM,Gold,84,69,77,82,80,83,82
Filip Kostić,Eintracht Frankfurt,Germany 1. Bundesliga,LM,Gold,84,84,82,71,85,43,86
Thorgan Hazard,Borussia Dortmund,Germany 1. Bundesliga,LM,Gold,84,86,83,73,86,43,83
Tammy Abraham,Chelsea,England Premier League,ST,Gold,84,89,85,77,87,33,72
Myziane Maolida,OGC Nice,France Ligue 1,LW,Gold,84,90,83,85,80,64,71
Nicolas Nkoulou,Torino,Italy Serie A,CB,Gold,84,90,81,81,84,50,70
Karim Bellarabi,Bayer 04 Leverkusen,Germany 1. Bundesliga,RM,Gold,84,72,78,76,80,83,84
Abdoulaye Doucouré,Watford,England Premier League,CM,Gold,84,93,82,78,88,49,71
Marcos Alonso,Chelsea,England Premier League,LB,Gold,84,84,82,71,85,43,86
Lautaro Martínez,Inter,Italy Serie A,ST,Gold,84,77,73,78,85,76,78
Jeremiah St. Juste,1. FSV Mainz 05,Germany 1. Bundesliga,CB,Gold,84,90,78,79,88,41,75
Gary Medel,Bologna,Italy Serie A,CDM,Gold,84,93,59,72,83,80,77
Diego Laxalt,Torino,Italy Serie A,LM,Gold,84,79,85,80,81,42,77
Jean-Paul Boëtius,1. FSV Mainz 05,Germany 1. Bundesliga,CAM,Gold,84,90,78,79,88,41,75
Bernard,Everton,England Premier League,LM,Gold,84,68,80,84,85,41,71
Alassane Plea,Borussia M'gladbach,Germany 1. Bundesliga,ST,Gold,84,67,79,80,79,85,86
Nélson Semedo,FC Barcelona,Spain Primera Division,LB,Gold,84,93,79,80,87,36,57
Duván Zapata,Atalanta,Italy Serie A,ST,Gold,84,90,82,75,85,43,69
Oyarzabal,Real Sociedad,Spain Primera Division,LW,Gold,84,81,77,80,81,75,79
Wilfred Ndidi,Leicester City,England Premier League,CDM,Gold,84,77,77,84,81,63,68
Santi Cazorla,Villarreal CF,Spain Primera Division,CAM,Gold,84,82,78,81,85,40,68
Felipe,Atlético de Madrid,Spain Primera Division,CB,Gold,84,68,80,71,76,65,86
Arturo Vidal,FC Barcelona,Spain Primera Division,CM,Gold,84,94,73,79,91,43,61
Arthur,FC Barcelona,Spain Primera Division,CM,Gold,84,84,78,79,84,44,65
Javi Martínez,Bayern München,Germany 1. Bundesliga,CDM,Gold,84,66,74,84,84,72,71
Ivan Perišić,Bayern München,Germany 1. Bundesliga,LM,Gold,84,91,63,76,77,81,81
Jérôme Boateng,Bayern München,Germany 1. Bundesliga,CB,Gold,84,84,78,79,89,38,59
Lucas Hernández,Bayern München,Germany 1. Bundesliga,CB,Gold,84,71,77,83,79,84,81
Julian Brandt,Borussia Dortmund,Germany 1. Bundesliga,CAM,Gold,84,67,78,82,83,79,76
Stefan de Vrij,Inter,Italy Serie A,CB,Gold,84,81,54,70,71,83,82
Mario Mandžukić,Piemonte Calcio,Italy Serie A,ST,Gold,84,82,78,81,85,40,68
Douglas Costa,Piemonte Calcio,Italy Serie A,LM,Gold,84,84,80,83,88,48,66
José Callejón,Napoli,Italy Serie A,RM,Gold,84,85,72,84,81,80,76
Aleksandar Kolarov,Roma,Italy Serie A,LB,Gold,84,88,79,79,84,47,64
Willi Orban,RB Leipzig,Germany 1. Bundesliga,CB,Gold,84,68,80,84,85,41,71
Marcelo Brozović,Inter,Italy Serie A,CM,Gold,84,77,77,84,81,63,68
Willian José,Real Sociedad,Spain Primera Division,ST,Gold,84,72,81,77,80,78,85
Teemu Pukki,Norwich City,England Premier League,ST,Gold,84,68,80,71,76,65,86
Laurent Koscielny,Girondins de Bordeaux,France Ligue 1,CB,Gold,84,84,78,79,84,44,65
Thomas Delaney,Borussia Dortmund,Germany 1. Bundesliga,CDM,Gold,84,62,66,76,78,83,73
João Moutinho,Wolverhampton Wanderers,England Premier League,CM,Gold,84,93,79,80,87,36,57
Lucas Leiva,Lazio,Italy Serie A,CDM,Gold,84,87,80,81,83,32,78
João Cancelo,Manchester City,England Premier League,RB,Gold,84,71,76,84,85,49,59
Sokratis,Arsenal,England Premier League,CB,Gold,84,89,77,79,88,55,61
Nabil Fekir,Real Betis Balompié,Spain Primera Division,CAM,Gold,84,72,81,79,82,71,79
Canales,Real Betis Balompié,Spain Primera Division,CAM,Gold,84,81,82,75,78,50,83
Felipe Anderson,West Ham United,England Premier League,LM,Gold,84,79,70,81,83,77,73
Azpilicueta,Chelsea,England Premier League,RB,Gold,84,72,51,61,62,83,84
Raúl Jiménez,Wolverhampton Wanderers,England Premier League,ST,Gold,83,65,55,67,66,84,84
Nicolò Barella,Inter,Italy Serie A,CM,Gold,83,54,65,80,77,82,74
Joe Gomez,Liverpool,England Premier League,CB,Gold,83,83,76,82,85,59,67
Daniel Wass,Valencia CF,Spain Primera Division,CM,Gold,83,55,63,84,81,70,73
Chris Smalling,Roma,Italy Serie A,CB,Gold,83,79,84,68,81,36,63
Thomas Delaine,FC Metz,France Ligue 1,LB,Gold,83,65,82,69,77,43,72
Tahith Chong,Manchester United,England Premier League,RM,Gold,83,51,74,78,78,80,80
Matheus Cunha,RB Leipzig,Germany 1. Bundesliga,ST,Gold,83,81,75,81,87,60,66
Victor Osimhen,LOSC Lille,France Ligue 1,ST,Gold,83,76,67,80,85,63,62
Salif Sané,FC Schalke 04,Germany 1. Bundesliga,CB,Gold,83,92,81,67,82,35,69
Diego Costa,Atlético de Madrid,Spain Primera Division,ST,Gold,83,71,27,59,58,83,81
Morata,Atlético de Madrid,Spain Primera Division,ST,Gold,83,64,70,83,77,78,80
Thomas Lemar,Atlético de Madrid,Spain Primera Division,LM,Gold,83,80,62,82,78,78,70
Paco Alcácer,Borussia Dortmund,Germany 1. Bundesliga,ST,Gold,83,65,78,78,82,74,69
Manuel Akanji,Borussia Dortmund,Germany 1. Bundesliga,CB,Gold,83,73,59,70,78,85,78
Sami Khedira,Piemonte Calcio,Italy Serie A,CM,Gold,83,81,80,82,84,43,62
Aaron Ramsey,Piemonte Calcio,Italy Serie A,CM,Gold,83,77,82,68,81,29,74
Juan Cuadrado,Piemonte Calcio,Italy Serie A,RM,Gold,83,92,79,76,87,42,66
Adrien Rabiot,Piemonte Calcio,Italy Serie A,CM,Gold,83,74,45,57,67,83,81
Federico Bernardeschi,Piemonte Calcio,Italy Serie A,RM,Gold,83,77,78,82,84,65,72
Kevin Kampl,RB Leipzig,Germany 1. Bundesliga,CM,Gold,83,43,60,67,62,82,81
Charles Aránguiz,Bayer 04 Leverkusen,Germany 1. Bundesliga,CM,Gold,83,90,79,76,83,36,70
Jonathan Tah,Bayer 04 Leverkusen,Germany 1. Bundesliga,CB,Gold,83,75,76,82,84,57,57
Jordan Henderson,Liverpool,England Premier League,CDM,Gold,83,79,70,81,83,77,73
Arkadiusz Milik,Napoli,Italy Serie A,ST,Gold,83,72,81,62,76,51,82
Fabián,Napoli,Italy Serie A,CM,Gold,83,75,80,82,87,41,66
Marco Asensio,Real Madrid,Spain Primera Division,LW,Gold,83,77,82,80,81,57,72
Luka Jović,Real Madrid,Spain Primera Division,ST,Gold,83,85,63,79,84,77,71
Lucas Moura,Tottenham Hotspur,England Premier League,CF,Gold,83,90,80,75,86,39,64
Davinson Sánchez,Tottenham Hotspur,England Premier League,CB,Gold,83,65,63,72,74,82,85
Giovani Lo Celso,Tottenham Hotspur,England Premier League,CM,Gold,83,54,65,80,77,82,74
Ezequiel Garay,Valencia CF,Spain Primera Division,CB,Gold,83,74,76,83,81,55,50
Rodrigo,Valencia CF,Spain Primera Division,ST,Gold,83,80,82,78,84,31,67
Gonçalo Guedes,Valencia CF,Spain Primera Division,LM,Gold,83,64,70,86,87,62,60
Pablo Sarabia,Paris Saint-Germain,France Ligue 1,CAM,Gold,83,55,63,84,81,70,73
Nicolas Pépé,Arsenal,England Premier League,RM,Gold,83,78,69,79,79,80,76
Sébastien Haller,West Ham United,England Premier League,ST,Gold,83,73,82,64,76,49,85
Marcus Rashford,Manchester United,England Premier League,ST,Gold,83,81,75,81,87,60,66
Dakonam Djené,Getafe CF,Spain Primera Division,CB,Gold,83,89,81,72,85,41,71
Borja Iglesias,Real Betis Balompié,Spain Primera Division,ST,Gold,83,83,76,82,85,59,67
Francesco Acerbi,Lazio,Italy Serie A,CB,Gold,83,78,45,68,72,83,80
Illarramendi,Real Sociedad,Spain Primera Division,CDM,Gold,83,92,79,76,87,42,66
Raúl Albiol,Villarreal CF,Spain Primera Division,CB,Gold,83,91,81,75,85,33,67
Gylfi Sigurðsson,Everton,England Premier League,CAM,Gold,83,50,53,65,64,84,79
John Stones,Manchester City,England Premier League,CB,Gold,83,90,79,76,83,36,70
David Luiz,Arsenal,England Premier League,CB,Gold,83,61,73,84,82,77,70
Bartra,Real Betis Balompié,Spain Primera Division,CB,Gold,83,77,78,82,84,65,72
Fabio Quagliarella,Sampdoria,Italy Serie A,ST,Gold,83,84,54,74,77,81,89
Andrej Kramarić,TSG 1899 Hoffenheim,Germany 1. Bundesliga,ST,Gold,83,91,67,75,82,77,83
Éver Banega,Sevilla FC,Spain Primera Division,CDM,Gold,83,75,79,82,83,44,47
Florian Thauvin,Olympique de Marseille,France Ligue 1,RW,Gold,83,72,75,85,83,52,74
Nico Elvedi,Borussia M'gladbach,Germany 1. Bundesliga,CB,Gold,82,79,79,83,85,51,78
Capa,Athletic Club de Bilbao,Spain Primera Division,RB,Gold,82,82,82,71,81,30,71
Ibrahima Konaté,RB Leipzig,Germany 1. Bundesliga,CB,Gold,82,55,58,60,61,83,84
Angeliño,Manchester City,England Premier League,LB,Gold,82,73,72,75,76,83,85
Fabián Orellana,SD Eibar,Spain Primera Division,RM,Gold,82,80,80,73,84,58,70
Ben Chilwell,Leicester City,England Premier League,LB,Gold,82,73,84,67,80,40,70
Yusuf Yazıcı,LOSC Lille,France Ligue 1,CAM,Gold,82,74,84,74,77,43,85
Christian Pulisic,Chelsea,England Premier League,LM,Gold,82,80,83,82,80,58,70
Ayoze Pérez,Leicester City,England Premier League,RW,Gold,82,51,50,55,53,83,84
Yerry Mina,Everton,England Premier League,CB,Gold,82,74,84,74,77,43,85
Ángel,Getafe CF,Spain Primera Division,ST,Gold,82,75,81,84,80,67,83
Denis Cheryshev,Valencia CF,Spain Primera Division,LW,Gold,82,81,78,77,84,44,73
Ruslan Malinovskyi,Atalanta,Italy Serie A,CM,Gold,82,69,66,75,73,77,83
Shane Duffy,Brighton & Hove Albion,England Premier League,CB,Gold,82,78,68,75,76,80,82
Wesley,Aston Villa,England Premier League,ST,Gold,82,71,81,56,76,37,83
Florent Mollet,Montpellier HSC,France Ligue 1,CAM,Gold,82,72,75,75,76,78,81
Florian Grillitsch,TSG 1899 Hoffenheim,Germany 1. Bundesliga,CDM,Gold,82,55,35,54,58,84,72
Lewis Dunk,Brighton & Hove Albion,England Premier League,CB,Gold,82,73,72,77,77,79,84
Nicolas Pallois,FC Nantes,France Ligue 1,CB,Gold,82,83,80,75,86,54,65
Alexis Sánchez,Inter,Italy Serie A,LW,Gold,82,72,43,67,64,82,78
Matt Doherty,Wolverhampton Wanderers,England Premier League,RWB,Gold,82,71,78,85,86,56,70
Alexandr Golovin,AS Monaco,France Ligue 1,CM,Gold,82,77,73,74,75,83,82
Germán Pezzella,Fiorentina,Italy Serie A,CB,Gold,82,90,52,76,80,74,76
Simon Kjær,Atalanta,Italy Serie A,CB,Gold,82,84,77,78,84,42,57
Héctor Herrera,Atlético de Madrid,Spain Primera Division,CM,Gold,82,70,71,81,83,33,62
Stefan Savić,Atlético de Madrid,Spain Primera Division,CB,Gold,82,76,84,79,79,41,83
Ángel Correa,Atlético de Madrid,Spain Primera Division,RM,Gold,82,67,74,82,84,64,70
Sergi Roberto,FC Barcelona,Spain Primera Division,RB,Gold,82,91,77,75,84,33,64
Olivier Giroud,Chelsea,England Premier League,ST,Gold,82,71,73,76,88,65,66
Pedro,Chelsea,England Premier League,RW,Gold,82,85,80,72,86,39,71
Antonio Rüdiger,Chelsea,England Premier League,CB,Gold,82,70,72,78,80,82,77
Mateo Kovačić,Chelsea,England Premier League,CM,Gold,82,79,75,77,75,78,84
Mario Götze,Borussia Dortmund,Germany 1. Bundesliga,CF,Gold,82,75,39,67,68,81,83
Nico Schulz,Borussia Dortmund,Germany 1. Bundesliga,LWB,Gold,82,92,79,75,86,47,69
Daniele Rugani,Piemonte Calcio,Italy Serie A,CB,Gold,82,50,53,64,70,81,84
Emil Forsberg,RB Leipzig,Germany 1. Bundesliga,CAM,Gold,82,91,74,75,85,39,61
Kevin Volland,Bayer 04 Leverkusen,Germany 1. Bundesliga,ST,Gold,82,80,62,78,79,80,79
Kerem Demirbay,Bayer 04 Leverkusen,Germany 1. Bundesliga,CM,Gold,82,77,72,83,80,75,72
Leon Bailey,Bayer 04 Leverkusen,Germany 1. Bundesliga,LW,Gold,82,83,84,70,78,41,76
Xherdan Shaqiri,Liverpool,England Premier League,RW,Gold,82,89,75,76,85,40,73
Joel Matip,Liverpool,England Premier League,CB,Gold,82,93,76,73,83,41,66
Naby Keïta,Liverpool,England Premier League,CM,Gold,82,93,71,74,86,50,52
Gabriel Jesus,Manchester City,England Premier League,ST,Gold,82,90,81,72,80,35,76
Ander Herrera,Paris Saint-Germain,France Ligue 1,CM,Gold,82,54,43,55,60,83,85
Thomas Meunier,Paris Saint-Germain,France Ligue 1,RB,Gold,82,82,60,74,78,81,79
Presnel Kimpembe,Paris Saint-Germain,France Ligue 1,CB,Gold,82,56,79,71,70,51,78
Nacho Fernández,Real Madrid,Spain Primera Division,CB,Gold,82,50,82,57,66,45,80
Gabriel Paulista,Valencia CF,Spain Primera Division,CB,Gold,82,81,77,79,83,46,75
James Maddison,Leicester City,England Premier League,CM,Gold,82,58,49,65,68,81,82
Hirving Lozano,Napoli,Italy Serie A,RW,Gold,82,72,75,75,76,78,81
Harry Maguire,Manchester United,England Premier League,CB,Gold,82,46,81,71,73,42,79
Serge Aurier,Tottenham Hotspur,England Premier League,RB,Gold,82,87,76,77,81,67,78
Nacho Monreal,Real Sociedad,Spain Primera Division,LB,Gold,82,73,77,82,82,72,69
Lorenzo Pellegrini,Roma,Italy Serie A,CAM,Gold,82,78,76,83,87,33,53
Darío Benedetto,Olympique de Marseille,France Ligue 1,ST,Gold,82,50,53,64,70,81,84
